,analyzer_version,track_7digitalid,artist_familiar,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_mbid,artist_name,artist_playmeid,genre,idx_artist_terms,idx_similar_artists,release,release_7digitalid,song_hotttnesss,song_id,title,artist_7digitalid
10,b'',2840208,0.5582453092722094,0.43948809906182723,b'ARAPI451187B9B6E6F',35.472,"Oklahoma City, OK",-97.52033,b'5d8cd98d-0572-4fe8-8771-84b4eb9bf510',John Michael Talbot,61388,b'',0,0,b'Simple Heart',262108,0.0,SOJBVZV12A8C13B50C,b'I Will Hear (Psalm 85)',19772
11,b'',2305171,0.6319790854692059,0.39957965816802155,b'AR3J4WZ1187B9B17ED',48.85692,"Paris, France",2.34121,b'385966f0-b912-4755-bad6-4780ebf3f4cd',Gall_ France,-1,b'',0,0,b'En Allemand - Das Beste Auf Deutsch',211868,0.39200877147130697,SOGIMLG12A8C13A2C8,b'Mein Herz kann man nicht kaufen',160048
12,b'',7917377,0.467413843769302,0.372737613340037,b'AR0WAW61187B98B7D7',40.71455,"New York, NY",-74.00712,b'8a53e168-c1f1-4b55-ac96-da3a69d9e240',Doug MacLeod,-1,b'',0,0,b'Where I Been',713761,0.0,SOYNIER12AB0188280,b'Angel In Hell',335158
13,b'',1408691,0.5673132241223214,0.5800131829395042,b'ARAIABB1187B9AC6E2',,"Paddington, London, England",,b'f053ae01-dae6-4aae-9883-e8c279fdbef4',Seal,1408,b'',0,0,b'Seal Best Remixes 1991-2005',135662,0.3837335353205307,SOQJDEK12A8AE45E7A,"b""I'm Alive (BT & Sasha Mix)""",623
14,b'',1244663,0.6876196662345889,0.417068912495152,b'ARXK4YK1187FB4D0C4',51.50632,"London, England",-0.12714,b'5483e1c0-14ca-4ec4-9b03-c4e987420e4e',Dub Pistols feat. Rodney P & Terry Hall,-1,b'',0,0,b'Peaches',120361,,SOCYWHV12A8C13CE5F,b'Peaches (Fear of Theydon remix)',54973
15,b'',7289015,0.4813360480067023,0.4369719312721286,b'ARYC4561187FB4F2B1',54.31407,United Kingdom,-2.23001,b'b183315e-6819-455c-abbf-49bab0ab264a',Chatelaine,-1,b'',0,0,b'Corps \xc3\xa0 corps',657961,,SOWMTOJ12AB018BBF2,b'Je me sens bien pasta fagioli',490786
16,b'',4992310,0.48820685104705724,0.2712505962615699,b'ARYB42B1187FB37B01',,,,b'e32f569d-bcd8-4c29-95a1-b13bff72f9d5',Les Malpolis,-1,b'',0,0,b'Pi\xc3\xa9den\xc3\xa9s',449692,,SOHNPLG12AB0182004,b'Les Psys',332491
17,b'',8234047,0.591940610279424,0.40567213597168034,b'ARYFAT91187B99FEF5',51.48126,"Cardiff, Wales",-3.18067,b'e314b02c-8724-4cc0-8da9-b754454f8378',Tigertailz,57097,b'',0,0,b'Thrill Pistol / Wazbones',743830,,SOSIDUF12AC468D60B,b'Thrill Pistol',124342
18,b'',720969,0.5738431163226819,0.40864682737660296,b'ARP32X81187B99EBF5',42.33168,"Detroit, MI",-83.04792,b'4bf03ff6-9259-4e36-b59a-2c58d61ee68e',Vanessa Bell Armstrong,7981,b'',0,0,b'Walking Miracle',68914,,SOWZSFY12A67AD820C,b'Walking Miracle',54079
19,b'',4878287,0.44566129114396935,0.2480246869211474,b'AR6DGPH1187B998587',35.83073,Tennessee,-85.97874,b'e7543947-9735-4fd1-87f8-9c1740fa2cef',David Evans,65227,b'',0,0,b'Needy Time',437702,,SOSDNNL12AB017BEBD,b'Now Is A Needy Time',323299
20,b'',1127231,0.6880033488369731,0.4693403742592461,b'ARSL3N21187B98DFC5',,,,b'74ba575f-3420-4d62-8e48-ac473d3c4282',Klaus Badelt,-1,b'',0,0,b'Rescue Dawn',109107,0.42512465831305757,SOEKFRD12A8C13CC0A,"b""Dieter's Theme""",20131
21,b'',4253314,0.45360053886418067,0.3508035740686485,b'ARN4IYF1187FB49D76',,,,b'733fd871-62b7-4fa3-9c70-6e7aa6cdfe0e',Pagan Wanderer Lu,-1,b'',0,0,b'Perfection R.I.P.',383446,0.0,SOWEEDF12A58A765D9,b'(eskomolto)',293676
22,b'',3277919,0.47021229568907263,0.3200869267523748,b'ARJIE2Y1187B994AB7',,,,b'8910064e-1810-42dc-90ba-bdab48cd9326',Line Renaud,26581,b'',0,0,b'Copacabana',291956,0.0,SOVBQWR12A8C137843,"b""Il N'Etait Pas Sentimental""",19334
23,b'',8795955,0.7292122740965461,0.48133930857423185,b'ARVUN5F1187FB4CCC7',,"Kingston, Jamaica",,b'0d85b9f2-802d-48bb-aa85-6a9668869053',Beenie Man,177,b'',0,0,b'Beenie Man - EP',795316,0.3016817567316363,SOJHGZJ12AB0187E31,b'Bad Man Story',7537
24,b'',5694185,0.585479539749522,0.36438492446826576,b'ARW63KF1187B98AC48',46.71067,FR,1.71819,b'8b74c6be-1f8d-4893-8526-1be4a3686f7a',Julien Clerc,61961,b'',0,0,b'Niagara',514440,,SOFLYRR12AB0181D04,b'Rolo Le Baroudeur',13038
25,b'',1461197,0.5410779524977934,0.30454771337183484,b'ARGC7FQ1187FB409CC',40.71455,New York,-74.00712,b'e211367b-efd7-43b6-a4ba-1defb4dc1fb0',Stew,68482,b'',0,0,b'The Naked Dutch Painter And Other Songs',140708,0.0,SOJZKQG12A8C131DDC,b'The Drug Suite',109946
26,b'',2161297,0.1729213015573182,0.0,b'ARPBOCU11F50C4B49B',,,,b'',Blanks77,90954,b'',0,0,b'Killer Blanks',198644,0.2998774882739778,SOYIDUQ12A8C136E86,b'Final Solution',147048
27,b'',1611326,0.5620903369072899,0.38714650165246794,b'ARLT4N91187FB533DB',,"Los Angeles, CA",,b'abcc1941-e8d2-406a-b4bb-6c208f36d2cf',Low Millions,61844,b'',0,0,b'Eleanor',154282,,SOLIQRN12A8C1391A6,b'Eleanor',14247
28,b'',3693703,0.6178701163443497,0.36366811024462387,b'ARNVH8S1187FB52F86',18.11526,"Jamaica, West Indies",-77.27348,b'41c0869f-dfe6-46cc-aa35-cbe9f29638cf',Heavy D,-1,b'',0,0,b'Vibes',328275,0.27045497911567046,SOUCCAM12AB0181444,b'Chasing Windmills',257069
29,b'',2494825,0.7788167165625715,0.5542914890128156,b'AR06EB01187FB40150',,"Berkeley, CA",,b'dcaa4f81-bfb7-44eb-8594-4e74f004b6e4',NOFX,11040,b'',0,0,b'I Heard They Suck Live!',226776,0.4137398358601097,SOKINCY12A6D4FB7CD,b'Linoleum (live)',33328
30,b'',8953332,0.6864520832317745,0.5172592831380602,b'ARMD6JB1187FB3B0E7',,Germany,,b'7928481f-848e-4551-b658-472c0aaf0c85',Die Fantastischen Vier,2338,b'',0,0,b'F\xc3\xbcr Dich Immer Noch Fanta Sie',809638,0.600471580614151,SODJEJR12AB018A460,b'Was wollen wir noch mehr?',60985
31,b'',8776106,0.582365878546936,0.3028554195218622,b'ARGBGC71187FB3DD0B',,,,b'4eb42e20-021e-40e3-897c-d0ae81d988fd',DJ Nasty,-1,b'',0,0,b'1st. Round Darft Pick',793450,0.0,SONVBPG12A8C13F8A4,b'Child Support',388422
32,b'',671461,0.5080586129066689,0.3722985729468398,b'ARLQ5EV1187FB4491D',38.99792,Colorado,-105.55096,b'5a2e43fd-dcc7-48b3-97a4-393ad8250a70',Don Francisco,61424,b'',0,0,b'Genesis And Job',64577,0.0,SOBZRVN12A6D4FBB17,"b""Job's Defiance""",49962
33,b'',6719454,0.0,0.0,b'ARRZNPS124207806FA',,Florida,,b'',Devine and emilyPLAY,-1,b'',0,0,b'Hold On / Turn It Up',604916,,SOGUHFC12AC46895A7,b'Turn It Up',-1
34,b'',3787569,0.43351711555557576,0.0,b'ARJJPQP1241B9CA062',,,,b'',Gabriel Grossi,-1,b'',0,0,b'Diz que fui por a\xc3\xad',338629,0.0,SOCJPJT12AB017EAA7,b'Rebuli\xc3\xa7o',263676
35,b'',8236500,0.725402920778495,0.4549573948202216,b'ARVXKTV1187FB44139',36.97402,"Santa Cruz, CA",-122.03095,b'99d6cff5-7cd7-4980-b40f-3e34aac44171',Arsonists Get All The Girls,140199,b'',0,0,b'Portals',744095,0.7550682767153579,SOKEGBU12AB017FA3E,b'Skiff For The Suits',114108
36,b'',1036100,0.7040939465198991,0.4107435775323873,b'ARS2KW51187B9B556E',,,,b'f5abf27f-4785-4777-9ea6-234a1d143ee7',X (Australia),47105,b'',0,0,b'Aspirations',99422,0.26586104921065007,SOJKIPU12A8C137B47,b'It Must Be Me',29574
37,b'',7373948,0.36987695823196864,0.25022732647127965,b'ARTUXSS1187FB4BD20',40.71455,"New York, NY",-74.00712,b'5780ff53-6dfa-4835-80dc-71c7316208a5',Doc Pomus,-1,b'',0,0,b'The Savoy Blues_ Vol. 3',665127,,SOBHQGR12A8C134244,b'Fruity Woman',27333
38,b'',8331357,0.8320117706473318,0.6941285029590545,b'ARC8CQZ1187B98DECA',,"Galveston, TX",,b'ff6e677f-91dd-4986-a174-8db0474b1799',Jack Johnson,759,b'',0,0,b'Music For Relief Download To Donate For Haiti',752698,0.5101927314839804,SONBEKD12AB01894DC,b'Times Like These [Live From Red Rocks]',1613
39,b'',2963541,0.6297324888091065,0.3412658413564567,b'AR323JD1187FB483D0',,New York,,b'efb91519-38e7-47ee-8713-3eb026d09764',Solomon,77119,b'',0,0,b'Solomon Vol. 2',254009,,SOHPMTS12A8C14093A,b'25 Variations And Fugue On A Theme By G.F. Handel For Piano_ Op. 24: Variation XXII',21797
40,b'',1137931,0.6465181300204232,0.46846255677857396,b'ARX134S1187FB46E56',,CANADA - Ontario,,b'fa3b1319-9f65-41b4-a8ba-6436d8c42e12',Scott Matthews,-1,b'',0,0,b'Passing Stranger',109988,,SOKODRA12A8C13B4B5,b'City Headache',31576
41,b'',496918,0.5515651754684117,0.3713025465171209,b'ARPEUYM1187FB4A97A',30.4951,"Lobdell, LA",-91.25276,b'dcf7b2e3-d3aa-41e4-bba5-40515122f209',Slim Harpo,-1,b'',0,0,b'The Excello Singles Anthology',46489,0.0,SOHDREN12A6D4F89EC,"b""I Love The Life I'm Living""",30161
42,b'',6833769,0.6335459987503766,0.4024958799867582,b'ARPISA41187FB3DE42',51.77045,"Essex, England",0.64255,b'696989bc-c9a8-4ba8-a99b-b8015dba577f',Humble Pie,64570,b'',0,0,b'The Atlanta Years',614711,0.0,SOFNWZV12A8C144495,b'Rude!/Drum Solo',235338
43,b'',4083649,0.5744007886920006,0.4460715844124553,b'ARRH2S81187B98C8AA',43.07295,"Madison, Wisconsin",-89.38669,b'fb7659b2-5ceb-45ac-be95-b0c1f832caec',Bongzilla,-1,b'',0,0,b'Live From the Relapse Contamination Festival',366763,,SOQCRIP12AB0184DA3,b'Stone a Pig',170417
44,b'',3115018,0.6174214066397045,0.44925387694771113,b'AR7GOK91187FB455F5',48.85692,"Paris, France",2.34121,b'0b3819e6-3fa1-4a50-a84c-f2a62643185d',Jean-Jacques Goldman,26966,b'',0,0,b'Int\xc3\xa9grale 81-91',279664,0.0,SOTNVHX12A8AE45CE9,"b'Medley : ""Traces"" (Live)'",88418
45,b'',8185144,0.6533406926626858,0.44960808830900445,b'ARLLRL61187B9B6698',47.25513,"Tacoma, WA",-122.44165,b'16346cf4-4d2b-40ec-8393-0fc7296d92fe',The Sonics,128437,b'',0,0,b'Maintaining My Cool',738782,0.4715782477005801,SOVEIDU12AC9097A10,b'On The Road Again',241432
46,b'',5623738,0.5501038502561703,0.38623768283972165,b'ARQHLIO1187B98AA6A',,,,b'ec5b0121-b610-4968-81cf-70768dae23f1',Jay Pérez,16138,b'',0,0,b'Tesoros De Colecci\xc3\xb3n',508143,0.0,SOCSIII12AB0183D7F,b'Mi Lindo Amor',313149
47,b'',8889898,0.4672359160951003,0.4406098262775343,b'ARNLHY61187FB3A0C0',,United States,,b'a6ee239c-c52d-4ddc-91e7-d7bf4917f04e',Organ Donors,-1,b'',0,0,b'MASIF HARD DANCE ICONS 003: LISA LASHES',804186,0.26695518627553855,SOYPBQN12AB018BE82,b'Tranceplant',9995
48,b'',1037648,0.521672995280826,0.3513450770925733,b'AR97EHA1187B98AD5F',30.33138,"Jacksonville, FL",-81.6558,b'2cd81b51-9120-4058-b4c9-e4c728d763be',Blind Blake,96197,b'',0,0,b'Blind Blake Vol. 4 (1929 - 1932)',99934,,SOGZLAA12A8C137C6D,"b""Ain't Gonna Do That No More""",79189
49,b'',1607010,0.5259050721449718,0.34302617914087985,b'AR6HLKR1187B9A735A',34.05349,Los Angeles,-118.24532,b'183565e9-3a60-4af4-a4fc-d9a2c5233ff4',Stimulator,120579,b'',0,0,b'Stimulator',153610,,SOUNBZQ12A8C1366A3,b'78 Stimulator',119245
50,b'',3636449,0.5509689161798321,0.33612442515088997,b'ARR035B1187B99EF11',49.38426,CANADA - Ontario,-84.75627,b'9918648e-9eb8-4fd1-9c0d-b8f378744eb9',Leeroy Stagger,-1,b'',0,0,b'Beautiful House',322686,0.0,SORATLR12AAF3B3E19,b'House Of Sin',251187
51,b'',3389803,0.5207264878849363,0.35926026411845985,b'ARBQ5TQ1187B992B8A',,CANADA - Ontario,,b'b741b38e-9019-4aaf-b28a-f9d6680105df',Vivian,52364,b'',0,0,b'V',300651,,SOAOBPV12A8C13A57A,b'Slipping Away',5449
52,b'',1989829,0.5948666454751887,0.38284690149999745,b'ARE36MM1187B991E50',31.1689,"Couchman, TX",-100.07715,b'9481010a-db23-469d-87df-b04118850efb',Blind Lemon Jefferson,16298,b'',0,0,b'The Complete Classic Sides Remastered: Chicago 1926 Disc A',183909,,SOCSUYP12A58A79438,b'Long Lonesome Blues',8588
53,b'',1337078,0.715418676514618,0.4543626241556834,b'ARUZLXZ1187FB3BFF1',34.16788,Arizona,-111.9307,b'f4d306f3-e82b-4186-9cca-4e8806db21f8',Wednesday 13,-1,b'',0,0,b'Transylvania 90210',129068,0.2816730776478403,SOXYAYP12A6D4FF02E,b'Haunt Me (Album Version)',50616
54,b'',5596125,0.6180027149087712,0.3494763271978497,b'ARU9KWP1187B98B2A7',,,,b'ccd5bf1f-f83d-4e81-86aa-2aff85d5d6c5',Busdriver,-1,b'',0,0,b'Jhelli Beam',506022,0.48917400240575637,SOEENRO12AB01859DF,b'Unsafe Sextet/Gilded Hearts of Booklovers',82279
55,b'',9239,0.7004466143862085,0.528795206130862,b'AR0XSOO1187B9B9E88',51.50632,London / Ex-Manchester,-0.12714,b'31e9c35b-2675-4632-8596-f9bd9286f6c8',Buzzcocks,38956,b'',0,0,b'Chronology',986,0.30416950343527516,SOPYTWT12A6310EEF5,b'No Reply (Demo)',379
56,b'',7867899,0.7970248173490673,0.4166101072230988,b'ARSCJQW1187B9B3523',,Vrsac,,b'334cff4b-7a07-47d4-ba27-b5426e58c719',Hoods,44928,b'',0,0,b'The King Is Dead',709510,0.6782216268937635,SOQKLRU12AB018A995,b'Coward',20297
57,b'',662824,0.5300223101252747,0.40924463861600635,b'ARH0NCL1187B99B41A',,,,b'9f033b2f-3eb1-4f6e-90e2-ddfd694dbde8',Quadro Nuevo,-1,b'',0,0,b'Luna Rossa',63876,0.3725300393660796,SOOYBBU12A6D4F9AF3,b'Nature Boy',49461
58,b'',496562,0.757389969929311,0.5167640302671827,b'AR5OB9M1187FB52F29',,"Savannah, TN",,b'fac3bb7e-4e51-4fb7-85e4-741d69b6d779',Darryl Worley,3124,b'',0,0,b'I Miss My Friend',46454,0.255077873063035,SOCJWPN12A6D4FB3C5,"b""Where You Think You're Goin'?""",28335
59,b'',2349390,0.4986768303970954,0.35416895482890376,b'AR0QS8F1187B9ADC96',,,,b'280697d2-164d-4477-971d-06b91e57c6a5',Sandy Lam,39158,b'',0,0,b'Sandy Live 07',215847,0.0,SOFEGQU12A8C13A938,b'Lonely Shooting Stars',102330
60,b'',3115010,0.6174214066397045,0.44925387694771113,b'AR7GOK91187FB455F5',48.85692,"Paris, France",2.34121,b'0b3819e6-3fa1-4a50-a84c-f2a62643185d',Jean-Jacques Goldman,26966,b'',0,0,b'Int\xc3\xa9grale 81-91',279664,0.21508031850922793,SOJTAUO12A8AE45CD1,b'Entre Gris Clair Et Gris Fonc\xc3\xa9 (Live)',88418
61,b'',6028803,0.55672148122732,0.4158248857038078,b'ARGUNFT1187FB3B140',,"Downey, CA",,b'3b061fda-3298-4cb2-bf36-8362c77faf20',Dave Alvin,18955,b'',0,0,b'The Great American Music Galaxy',544900,,SOVNJBL12AB01840F9,b'All Night Worker',83503
62,b'',6360537,0.4983370819045986,0.2982275608907246,b'ARQ0BG21187B99ED8F',46.8132,Switzerland,8.22395,b'89acd1af-ffdd-49b6-a573-b52e81981f17',Mush,-1,b'',0,0,b'Test EP Vol 1',573951,,SOUYQXO12AB018B3FE,b'Test 72',426662
63,b'',6894579,0.4984141333079685,0.32600887327943756,b'ARHINI31187B995C1D',,,,b'da3df0b1-1945-455b-beb7-701cf76a4da4',Singing Melody,-1,b'',0,0,b'Jackson Lovers',620666,0.0,SOGDDDA12AB017E80C,b'Thriller (Album)',7694
64,b'',7347574,0.44538134642831456,0.3096910090183806,b'ARC3JTL1187FB4A1CE',39.74023,"WILMINGTON, Delaware",-75.55084,b'2a233c17-72e1-4da0-b7df-99da708f518c',Hawkshaw Hawkins,12846,b'',0,0,b'Country Style U.S.A. with Kitty Wells_ Johnnie & Jack_ Hawkshaw Hawkins_ Jean Shepard',663088,,SOSYSGH12AB0186C4F,b'Intro / Stay All Night_ Stay A Little Longer',34546
65,b'',627496,0.6350878112623854,0.40650824851981693,b'ARMR44C1187FB433D2',,,,b'4dfadf48-e15b-4fc2-a800-2b68702a72d5',Penguin Café Orchestra,92268,b'',0,0,b'A History',60420,0.0,SOLISXB12A6D4FB3B6,b'Southern Jukebox Music (Live) (2001 Digital Remaster)',16367
66,b'',376792,0.5576519965692474,0.3482300267229022,b'ARYAEI81187FB3822D',,Brazil,,b'dd2abaa1-0b73-4ded-82ed-c80cce8d6378',Airto Moreira,35687,b'',0,0,b'Life After That',35154,,SOAZKKM12A6D4F7D9D,b'Hala_ Tumba And Timbal',10608
67,b'',5446237,0.3707157284259081,0.24154581836329983,b'ARIRAVN11F4C842412',,,,b'',Los Nakos,-1,b'',0,0,b'Va Por Chiapas',491552,,SOZRMNB12AB017F016,b'Juana Democracia / Calipso Del Tlc',363846
68,b'',1126321,0.5493533768111833,0.41712458371887273,b'ARVQZNK11E2835CDAC',,,,b'9b89f290-eb18-4bc3-977a-e20c7d90db2d',Archie Bell and The Drells,7523,b'',0,0,"b""I Can't Stop Dancing""",109026,0.0,SOXBVUJ12A8C13CB38,"b""I've Been Trying""",24060
69,b'',6969172,0.6649243624441277,0.49638114568159253,b'ARN0DMU1187FB5B63A',,"Philadelphia, Pennsylvania",,b'debabff3-2559-46e5-862d-ef2a906d7010',Hall & Oates,2724,b'',0,0,b'AM Radio Gold: Hall & Oates (Remastered)',627878,,SOATQEU12AB017BD60,b'Fall in Philadelphia',61234
70,b'',4152089,0.5380855007945653,0.3135007553703385,b'AR8ACFK1187B9B4063',,"New Orleans, LA",,b'5849fa32-0283-4204-9d1b-507cfaf9d4a2',Champion Jack Dupree,19460,b'',0,0,b'The Blues Of Champion Jack Dupree Vol. 1',372935,,SOFSZCZ12A8C140AB4,b'When I Left Home',5907
71,b'',4093213,0.8374501282954904,0.47676086709831694,b'ARDEC2A1187B9A460E',,"Cleveland, OH",,b'd624df22-b03d-4746-ac28-a4bd72aeec26',Chimaira,-1,b'',0,0,b'The Impossibility of Reason [Special Edition]',367772,,SOIHAIA12AB01825F1,b'Army Of Me (Album Version)',63381
72,b'',3197529,0.5400377489797789,0.36005330653898404,b'AR1N6N61187FB4E25E',23.0833,"Havana, Cuba [Jesus Maria]",-82.4167,b'915f84de-eac2-4e78-99ad-9ab6e2c50af6',Mongo Santamaria,6530,b'',0,0,b'Santa Maria',284466,0.26586104921065007,SOCNYWR12A8C135FA6,b'Boogaloo Wow',740906
73,b'',2546,0.625190484531311,0.5009463756707355,b'ARWC1WN1187FB516CE',,,,b'925228de-bbe5-4c7b-b76f-78e382ec9148',Eric B. & Rakim,-1,b'',0,0,b'Paid In Full',247,,SOLWCYO12A5829149B,b'I Know You Got Soul',9928
74,b'',6651526,0.5013371622205839,0.38067987361328043,b'ARR575U1187B98FB97',38.8235,Maryland,-75.92381,b'3fb669c6-ab73-44f8-b2d5-52a5fde6f494',The Perrys,181730,b'',0,0,b'Remembering The Happy Goodmans',599426,0.0,SOBTCVH12AC468BF22,b'When They Ring The Bells Of Heaven',179777
75,b'',1341819,0.6386404057423517,0.4608434825896651,b'ARW071B1187B9A603C',,California,,b'846cdb90-81a6-4c05-a7dc-9dd075f0db9e',Unwritten Law,17305,b'',0,0,"b""Here's To The Mourning""",129275,,SOXPWTF12A81355824,b'Because Of You (Album Version)',4561
76,b'',6994544,0.44106128409945095,0.3437719451180466,b'ARK8F3K1187FB4F002',,,,b'4de99623-071b-4352-8e49-8b5f966ab05f',Oui Oui,-1,b'',0,0,b'Oui-oui et le cadeau surprise',630254,0.0,SOTRVGJ12AB0183B60,b'La danse des petits amis',469264
77,b'',3013739,0.5709215403299599,0.3467043918506348,b'ARHY3JM1187B9B9DFB',,California - LA,,b'c74567f2-cf85-4aba-b795-1786665b843e',Monty,172946,b'',0,0,b'Pour La Vie',271048,,SOGPECU12A6D4FAF78,b'Les Reves D\xc2\xb4enfants',28742
78,b'',2602572,0.4234013772561962,0.37565282400247096,b'ARCII0J1187FB3A1B4',40.71455,"New York City, New York",-74.00712,b'36f93472-e1c2-45bc-b141-801e79b7de14',The Marx Brothers,86080,b'',0,0,b'Horse Feathers / Animal Crackers',237206,0.39628912318039405,SOVDTAZ12A8BED7491,"b""I'm Against It/Horse Feathers""",35758
79,b'',5677456,0.6305505684126376,0.5455719612113675,b'ARLUF1T1187FB3603B',,,,b'40627299-0979-45ba-8924-2af5fdc36ea8',Ricardo Arjona,4015,b'',0,0,b'Historias',511939,0.6403706648883718,SOJCRRD12A58A7D438,b'Ayudame Freud',127901
80,b'',2014812,0.5447494894552873,0.41741046690001027,b'ARYJ6RP1187B9B3827',36.16778,"Nashville, TN",-86.77836,b'84abfd2a-89a1-4eb2-91ea-36ee5dac9a23',Cindy Morgan,8352,b'',0,0,b'Listen',185936,0.2975771532188713,SOOVLKO12A58A7F7BA,b'Will You Be There? (Live Version)',15691
81,b'',8648106,0.44917832625677784,0.3301197135566966,b'ARLZ0521187B98B2E3',,,,b'7b85a62b-1d39-4580-bfcc-8668a70fcfcd',Muzsikas,-1,b'',0,0,b'World Music From Hungary 2.',781518,0.0,SOBYKBT12AC468C7EF,b'B\xc3\xa9k\xc3\xa1si t\xc3\xa1ncdallamok',425338
82,b'',4605681,0.3117525083661655,0.2520805272058066,b'ARLMCCW1241B9CE7CB',,,,b'',Kurt Tepperwein,-1,b'',0,0,b'Charismatisches Selbstimage - Selbst-Management',413386,,SOACNLP12A81C230B1,b'Einleitung',151599
83,b'',5765058,0.9290302874411605,0.7504265510189179,b'ARR3ONV1187B9A2F59',54.31407,UK,-2.23001,b'fd857293-5ab8-40de-b29e-55a69d4e4d0f',Muse,-1,b'',0,0,b'Unintended',521416,0.5395397825789927,SOAERUU12A8C13F302,b'Falling Down [Live Acoustic]',588
84,b'',5312312,0.510288292720926,0.3378587639891462,b'ARU81FP1187B98C71E',35.6139,"Jackson, TN",-88.8194,b'55a434d9-d3d3-462f-9aa9-749938dcf172',Big Maybelle,12759,b'',0,0,"b""Maybelle's Blues""",478576,,SOFHMOJ12A8C142DB0,b'New Kind Of Mambo',10889
85,b'',3807125,0.5116634453722071,0.40977899776259186,b'AR9JLBU1187B9AAEC4',-33.96243,"Port Elizabeth, South Africa",25.62326,b'aab7a1d7-5461-4874-8162-bc127b91da59',Danny Williams,24400,b'',0,0,b'Moon River/Swinging For You',340416,,SOGHZWU12AB017C49D,b'I Talk To The Trees',7247
86,b'',3441623,0.13818761011851705,0.3178109598122704,b'ARL6XZC1187FB3936E',,,,b'8b49d89a-cd3d-4766-aebb-0a5e1dd2d7a5',Solistiyhtye Suomi,-1,b'',0,0,b'He Soittavat Humppaa',303678,,SOUDYBG12A8C13FD4D,b'Yksin\xc3\xa4isin',22836
